Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",24.000000,-42.000000,0.000000,top
"C2","100nF","C_0603_1608Metric",24.000000,-68.000000,0.000000,top
"C3","100nF","C_0603_1608Metric",24.000000,-94.000000,0.000000,top
"C4","100nF","C_0603_1608Metric",38.000000,-52.000000,0.000000,top
"CB11","1000uF_10V","CP_Radial_D10.0mm_P5.00mm",138.000000,-16.000000,0.000000,top
"CB12","1000uF_10V","CP_Radial_D10.0mm_P5.00mm",148.000000,-28.000000,0.000000,top
"CB21","1000uF_10V","CP_Radial_D10.0mm_P5.00mm",138.000000,-49.000000,0.000000,top
"CB22","1000uF_10V","CP_Radial_D10.0mm_P5.00mm",148.000000,-61.000000,0.000000,top
"CB31","1000uF_10V","CP_Radial_D10.0mm_P5.00mm",138.000000,-82.000000,0.000000,top
"CB32","1000uF_10V","CP_Radial_D10.0mm_P5.00mm",148.000000,-94.000000,0.000000,top
"CM11","22uF_10V","C_1206_3216Metric",135.000000,-36.000000,0.000000,top
"CM12","22uF_10V","C_1206_3216Metric",142.000000,-36.000000,0.000000,top
"CM13","22uF_10V","C_1206_3216Metric",149.000000,-36.000000,0.000000,top
"CM14","22uF_10V","C_1206_3216Metric",156.000000,-36.000000,0.000000,top
"CM21","22uF_10V","C_1206_3216Metric",135.000000,-69.000000,0.000000,top
"CM22","22uF_10V","C_1206_3216Metric",142.000000,-69.000000,0.000000,top
"CM23","22uF_10V","C_1206_3216Metric",149.000000,-69.000000,0.000000,top
"CM24","22uF_10V","C_1206_3216Metric",156.000000,-69.000000,0.000000,top
"CM31","22uF_10V","C_1206_3216Metric",135.000000,-102.000000,0.000000,top
"CM32","22uF_10V","C_1206_3216Metric",142.000000,-102.000000,0.000000,top
"CM33","22uF_10V","C_1206_3216Metric",149.000000,-102.000000,0.000000,top
"CM34","22uF_10V","C_1206_3216Metric",156.000000,-102.000000,0.000000,top
"D1","SMBJ5.0A","D_SMB",88.000000,-10.000000,0.000000,top
"F1","ATO_FUSE_10A","Fuseholder_Blade_ATO_Littelfuse_Pudenz_2_Pin",112.000000,-13.000000,0.000000,top
"F2","ATO_FUSE_10A","Fuseholder_Blade_ATO_Littelfuse_Pudenz_2_Pin",112.000000,-24.000000,0.000000,top
"F3","ATO_FUSE_10A","Fuseholder_Blade_ATO_Littelfuse_Pudenz_2_Pin",112.000000,-35.000000,0.000000,top
"F4","ATO_FUSE_10A","Fuseholder_Blade_ATO_Littelfuse_Pudenz_2_Pin",112.000000,-46.000000,0.000000,top
